GPR101	Acromegaly, predisposition to
C9orf172	Schizophrenia  
EIF3B	Schizophrenia  
FAM189A2	Schizophrenia  
FAXDC2	Schizophrenia  
KDM3B	Schizophrenia  
MAP4K4	Schizophrenia  
PSMC2	Schizophrenia  
QSER1	Schizophrenia  
SLC22A23	Attention deficit hyperactivity disorder|Schizophrenia  
TMEM8C	Schizophrenia  
USP10	Schizophrenia  
CHD5	Schizophrenia  
CILP2	Schizophrenia  
DOT1L	Gastric cancer  |Schizophrenia  
HPCA	Dystonia  |Schizophrenia  
KDELC2	Schizophrenia  
KIAA0430	Schizophrenia  
KIF24	Schizophrenia  
MYLPF	Schizophrenia  
PITRM1	Schizophrenia  
sdhctv2	Cowden / Cowden-like syndrome  
SHARPIN	Schizophrenia  
TIGD7	Schizophrenia  
CACNG1	Takotsubo (stress) cardiomyopathy 
CADPS	Takotsubo (stress) cardiomyopathy 
DNAL4	Mirror movements, congenital
KIF2B	Prostate cancer   
LRRC46	Prostate cancer   
RPL31	Diamond-Blackfan anaemia
ZNF844	Schizophrenia  
GPT2	Developmental delay & microcephaly
TMEM107	Tongue cysts, polydactyly & developmental delay
CRB2	Nephrotic syndrome, steroid resistant|Congenital nephrosis, Finnish type-like, with cerebral ventriculomegaly & raised alpha-fetoprotein
KATNB1	Microlissencephaly|Cerebral cortical malformations
MAT2A	Thoracic aortic aneurysms  
TDG	Coronary artery disease  |Increased genomic instability 
CLPB	Neurodevelopmental disorder  |3-methylglutaconic aciduria, renal cysts, nephrocalcinosis & cataracts|3-methylglutaconic aciduria, progressive brain atrophy, intellectual disability, neutropaenia, cataracts & movement disorder|3-methylglutaconic aciduria, microcephaly and encephalopathy|3-methylglutaconic aciduria type IV, cataracts, neutropaenia & epilepsy
GAL3ST2	Crohn's disease 
LONP1	CODAS syndrome|Diaphragmatic hernia, congenital  
PNPLA8	Neurodevelopmental disorder|Mitochondrial myopathy
trem2v	Alzheimer disease  
JPH1	Charcot-Marie-Tooth disease, modifier of
ms4a6atv1	Parkinson disease  
FYB	Thrombocytopaenia  |Thrombocytopaenia, small-platelet
myo7atv3	Hearing loss
PDXDC1	Hearing loss
RBP1	Leber congenital amaurosis
TMEM132E	Hearing loss, non-syndromic, autosomal recessive
TCF20	Autism spectrum disorder
MIR137	Schizophrenia / bipolar disorder, association with|Schizophrenia  |Reduced expression|Obesity, syndromic|Bipolar disorder|Altered expression
GPR161	Pituitary stalk interruption syndrome
bmp1-1	Bone fragility  
cacnb2i2	Sudden cardiac death   
GAS7	Glaucoma, primary open angle
DNAJC3	Diabetes mellitus & multisystemic neurodegeneration
E2F1	Azoospermia, non-obstructive
SLC39A11	Autism spectrum disorder
SLC9A1	Spastic diplegia, seizures, autism, intellectual disability & behavioural problems|Reduced activity and expression|Lichtenstein-Knorr syndrome
TPGS1	Autism spectrum disorder
INO80D	Aortic hypoplasia, premature atherosclerosis & arterial stiffness
CNOT1	Amyotrophic lateral sclerosis  
HNRNPD	Amyotrophic lateral sclerosis  
KLRC1	Rheumatoid arthritis  
CTBP2	Congenital heart disease 
KCNH1	Zimmermann-Laband syndrome|Temple-Baraister syndrome|Epilepsy
TOP2A	Congenital heart disease 
KCNA2	Epileptic encephalopathy |Epilepsy  |Ataxia & myoclonic epilepsy
MEG3	upd(14)pat syndrome
OLFM1	Gilles de la Tourette syndrome
PARS2	Alpers syndrome
KCNC1	Epilepsy, progressive myoclonus
DLK1	upd(14)mat syndrome
PTPRA	Schizophrenia  
RTL1	upd(14)pat syndrome
TERF2IP	Melanoma  
CLIC5	Progressive hearing loss & vestibular dysfunction
FAM136A	Meniere's disease, autosomal dominant
KCNH7	Bipolar spectrum disorder
GTF2I	Williams-Beuren syndrome, transcriptional dysregulation
C12orf4	Intellectual disability, ADHD and hypotonia
DMBX1	Global developnetnal delay, epilepsy, hypotonia, hearing loss, hyperopia, and strabismus
TNFRSF21	Coeliac disease
WDR93	Autism spectrum disorder
BRF1	Cerebellar-facial-dental syndrome
ETV6	Acute lymphoblastic leukaemia & thrombocytopaenia|Thrombocytopaenia & haematologic malignancy
EPB41L4A	Spastic paraplegia, failure to thrive
MATN4	Global developmental delay, holoprosencephaly, microcephaly, lumbosacral myelomeningocele, epilepsy, proptosis and diabetes
MRI1	Infantile epilepsy with severe cystic degeneration of the brain
NUP107	Global developmental delay, light complexion, early onset focal segmental glomerulosclerosis
PAM16	Spondylodysplastic dysplasia
PDPR	Joubert syndrome
PTPN23	Global developmental delay, epilepsy and brain atrophy
SEC24D	Disturbed ossification of the skull & multiple fractures|Intellectual disability and epilepsy
SPDL1	Primary microcephaly, severe
ST7	Global developmental delay, intractable seizures and brain atrophy
TSEN15	Global developmental delay, epilepsy and primary microcephaly
TUBA3E	Global developmental delay, primary microcephaly, lissencephaly, epilepsy
NLRP10	Miscarriage, recurrent
OSBPL5	Miscarriage, recurrent
YES1	Miscarriage, recurrent
KLHL15	Intellectual disability  
TAF6	Cornelia de Lange syndrome|Intellectual disability, syndromic  
USP27X	Intellectual disability  
CDK16	Intellectual disability  
RLIM	Intellectual disability  
SNRPB	Cerebro-costo-mandibular syndrome
